   1 	     2.9808 
   2 	     5.8415 
   3 	     8.5780 
   4 	    11.2245 
   5 	    13.9671 
   6 	    16.7867 
   7 	    19.5382 
   8 	    22.1801 
   9 	    24.9648 
  10 	    27.7035 
  11 	    30.7331 
  12 	    33.0619 
  13 	    35.7781 
  14 	    38.6643 
  15 	    41.4192 
  16 	    44.3239 
  17 	    46.9451 
  18 	    49.7310 
  19 	    52.4668 
  20 	    55.1585 
  21 	    57.9505 
  22 	    60.9534 
  23 	    63.5890 
  24 	    66.2679 
  25 	    68.7629 
  26 	    71.5897 
  27 	    74.3194 
  28 	    77.1100 
  29 	    79.7701 
  30 	    82.4889 
  31 	    85.3609 
  32 	    88.1743 
  33 	    90.8573 
  34 	    93.2935 
  35 	    96.0442 
  36 	    98.7979 
  37 	   101.4937 
  38 	   104.2716 
  39 	   106.9625 
  40 	   109.8956 
  41 	   112.5896 
  42 	   115.2248 
  43 	   117.9366 
  44 	   120.7233 
  45 	   123.5126 
  46 	   126.2745 
  47 	   128.8308 
  48 	   131.6030 
  49 	   134.3771 
  50 	   137.2215 
