   1 	     9.8723 
   2 	    12.5969 
   3 	    15.3276 
   4 	    18.1250 
   5 	    20.7541 
   6 	    23.4956 
   7 	    26.2852 
   8 	    29.0125 
   9 	    31.7645 
  10 	    34.4515 
  11 	    37.2175 
  12 	    39.9199 
  13 	    42.7401 
  14 	    45.4287 
  15 	    48.1153 
  16 	    50.8695 
  17 	    53.6259 
  18 	    56.3379 
  19 	    59.1398 
  20 	    61.7500 
  21 	    64.4950 
  22 	    67.1949 
  23 	    70.0843 
  24 	    72.7051 
  25 	    75.4200 
  26 	    78.2123 
  27 	    80.8804 
  28 	    83.6592 
  29 	    86.3643 
  30 	    89.0615 
  31 	    91.8635 
  32 	    94.4608 
  33 	    97.2285 
  34 	   100.0430 
  35 	   102.8135 
  36 	   105.4855 
  37 	   108.2570 
  38 	   110.9451 
  39 	   113.7274 
  40 	   116.4645 
  41 	   119.1829 
  42 	   121.9611 
  43 	   124.5883 
  44 	   127.3952 
  45 	   130.0536 
  46 	   132.7759 
  47 	   135.6207 
  48 	   138.3512 
  49 	   141.1441 
  50 	   143.9902 
